year,immig_status,tranwork_grp,pop,pct
2008,Native-born citizens,Other,927835,0.7726147497800238
2008,Native-born citizens,Private motorized vehicle,106112378,88.36052571527621
2008,Native-born citizens,Public transport,4666599,3.8859099071588257
2008,Native-born citizens,Taxicab or ride-hailing services,122653,0.10213401833814122
2008,Native-born citizens,Walked only,2792318,2.325182896610126
2008,Native-born citizens,Worked at home,4840167,4.030441205169591
2009,Illegal immigrants,Bicycle,82773.2252724308,1.149816732540983
2009,Illegal immigrants,Other,188808.6788507961,2.622772973713154
2009,Illegal immigrants,Private motorized vehicle,5494902.794780035,76.33061483746083
2009,Illegal immigrants,Public transport,895332.2978113877,12.437210871264478
2009,Illegal immigrants,Taxicab or ride-hailing services,21226.412261256093,0.29485964705949885
2009,Illegal immigrants,Walked only,335376.12264264544,4.65876587797611
2009,Illegal immigrants,Worked at home,180399.45664839225,2.5059590599849484
2009,Legal immigrants,Bicycle,66758,0.4409562034673565
2009,Legal immigrants,Other,140212,0.9261414542161986
2009,Legal immigrants,Private motorized vehicle,12387791,81.82499908186416
2009,Legal immigrants,Public transport,1452219,9.592333156223388
2009,Legal immigrants,Taxicab or ride-hailing services,28385,0.18749126449895015
2009,Legal immigrants,Walked only,470305,3.106502700376211
2009,Legal immigrants,Worked at home,593702,3.921576139353733
2009,Native-born citizens,Bicycle,604964,0.5243456015837047
2009,Native-born citizens,Other,818144,0.7091169191259289
2009,Native-born citizens,Private motorized vehicle,101728865,88.17232581914374
2009,Native-born citizens,Public transport,4535080,3.930728524061311
2009,Native-born citizens,Taxicab or ride-hailing services,114942,0.0996246588842215
2009,Native-born citizens,Walked only,2668533,2.3129203410962766
2009,Native-born citizens,Worked at home,4904522,4.250938136104816
2010,Illegal immigrants,Bicycle,89181.6283970158,1.2260214324217125
2010,Illegal immigrants,Other,181785.7941037032,2.499094081224452
2010,Illegal immigrants,Private motorized vehicle,5564775.427833927,76.50156275198037
2010,Illegal immigrants,Public transport,897811.7437435936,12.342636705503226
2010,Illegal immigrants,Taxicab or ride-hailing services,18272.81292294863,0.25120488016248316
2010,Illegal immigrants,Walked only,344960.5122412486,4.742333022493851
2010,Illegal immigrants,Worked at home,177279.73068916253,2.4371471262138944
2010,Legal immigrants,Bicycle,73231,0.4758554575807912
2010,Legal immigrants,Other,143786,0.9343222518293023
2010,Legal immigrants,Private motorized vehicle,12639586,82.13210224715984
2010,Legal immigrants,Public transport,1468019,9.53919587309057
2010,Legal immigrants,Taxicab or ride-hailing services,24489,0.15912966231098846
2010,Legal immigrants,Walked only,428551,2.784726853405056
2010,Legal immigrants,Worked at home,611675,3.974667654623458
2010,Native-born citizens,Bicycle,550733,0.48554891299632963
2010,Native-born citizens,Other,834667,0.735876830631009
2010,Native-born citizens,Private motorized vehicle,100229197,88.36619133744479
2010,Native-born citizens,Public transport,4339964,3.826291147694441
2010,Native-born citizens,Taxicab or ride-hailing services,102148,0.09005788715175789
2010,Native-born citizens,Walked only,2530389,2.230895240357613
2010,Native-born citizens,Worked at home,4837726,4.265138643724058
2011,Illegal immigrants,Bicycle,76053.46361153087,1.0698713587266868
2011,Illegal immigrants,Other,168216.24373328878,2.3663582524274016
2011,Illegal immigrants,Private motorized vehicle,5398719.595493848,75.94572547698763
2011,Illegal immigrants,Public transport,921036.3280304803,12.956548471478266
2011,Illegal immigrants,Taxicab or ride-hailing services,21562.278063636248,0.30332430153368517
2011,Illegal immigrants,Walked only,336967.21912095597,4.740238766885447
2011,Illegal immigrants,Worked at home,186099.85099405047,2.617933371960875
2011,Legal immigrants,Bicycle,72014,0.4533963868310933
2011,Legal immigrants,Other,154521,0.9728561542134497
2011,Legal immigrants,Private motorized vehicle,12993476,81.80624699053693
2011,Legal immigrants,Public transport,1543661,9.718809118950098
2011,Legal immigrants,Taxicab or ride-hailing services,27697,0.17437886697115548
2011,Legal immigrants,Walked only,475974,2.9967074711242647
2011,Legal immigrants,Worked at home,615889,3.8776050113730003
2011,Native-born citizens,Bicycle,604961,0.5292707519180784
2011,Native-born citizens,Other,856199,0.7490748800691396
2011,Native-born citizens,Private motorized vehicle,100797254,88.18591349832062
2011,Native-born citizens,Public transport,4487189,3.9257702496996174
2011,Native-born citizens,Taxicab or ride-hailing services,112888,0.09876391476893226
2011,Native-born citizens,Walked only,2538192,2.2206237895541223
2011,Native-born citizens,Worked at home,4904173,4.2905829156695034
2012,Illegal immigrants,Bicycle,79082.92328647012,1.1196518528800226
2012,Illegal immigrants,Other,173342.6050705732,2.45417545134579
2012,Illegal immigrants,Private motorized vehicle,5426417.286921982,76.82692947241925
2012,Illegal immigrants,Public transport,844790.8091720827,11.960503677376837
2012,Illegal immigrants,Taxicab or ride-hailing services,23268.619172265393,0.32943588182511957
2012,Illegal immigrants,Walked only,331622.07145674917,4.695087780423317
2012,Illegal immigrants,Worked at home,184646.53423783265,2.6142158837296536
2012,Legal immigrants,Bicycle,76677,0.4681080947102509
2012,Legal immigrants,Other,141355,0.8629630753389872
2012,Legal immigrants,Private motorized vehicle,13398428,81.79653094399204
2012,Legal immigrants,Public transport,1597092,9.750142718116047
2012,Legal immigrants,Taxicab or ride-hailing services,27447,0.16756214869533573
2012,Legal immigrants,Walked only,485873,2.9662230434309342
2012,Legal immigrants,Worked at home,653319,3.9884699757164
2012,Native-born citizens,Bicycle,687998,0.5902460628028098
2012,Native-born citizens,Other,890444,0.7639281875040118
2012,Native-born citizens,Private motorized vehicle,102609572,88.03062781996667
2012,Native-born citizens,Public transport,4541297,3.8960617244064832
2012,Native-born citizens,Taxicab or ride-hailing services,107669,0.09237120360221356
2012,Native-born citizens,Walked only,2653639,2.2766054143325785
2012,Native-born citizens,Worked at home,5070599,4.350159587385232
2013,Illegal immigrants,Bicycle,77372.2547503489,1.0849735102438414
2013,Illegal immigrants,Other,176936.9375699028,2.481146385954937
2013,Illegal immigrants,Private motorized vehicle,5479989.972916044,76.84465156405389
2013,Illegal immigrants,Public transport,865387.7374588014,12.135135188475527
2013,Illegal immigrants,Taxicab or ride-hailing services,21599.679650422284,0.30288738936298687
2013,Illegal immigrants,Walked only,319649.9178350714,4.482378011623204
2013,Illegal immigrants,Worked at home,190320.9931899097,2.6688279502856216
2013,Legal immigrants,Bicycle,92129,0.5485172429067668
2013,Legal immigrants,Other,164690,0.9805306117977558
2013,Legal immigrants,Private motorized vehicle,13680151,81.44882403009096
2013,Legal immigrants,Public transport,1662622,9.898911693778665
2013,Legal immigrants,Taxicab or ride-hailing services,28896,0.1720408801901023
2013,Legal immigrants,Walked only,481418,2.866264412353221
2013,Legal immigrants,Worked at home,686102,4.0849111288825295
2013,Native-born citizens,Bicycle,688461,0.5828474162099853
2013,Native-born citizens,Other,986510,0.8351741123539498
2013,Native-born citizens,Private motorized vehicle,103750444,87.83457336877292
2013,Native-born citizens,Public transport,4812255,4.074029455399191
2013,Native-born citizens,Taxicab or ride-hailing services,113673,0.09623495643593123
2013,Native-born citizens,Walked only,2652369,2.245481470243721
2013,Native-born citizens,Worked at home,5116568,4.331659220584306
2014,Illegal immigrants,Bicycle,75740.40572804179,1.0739172381829316
2014,Illegal immigrants,Other,166518.6418475478,2.361054687256357
2014,Illegal immigrants,Private motorized vehicle,5485909.693997077,77.78428080584075
2014,Illegal immigrants,Public transport,804918.4250868782,11.412874854878389
2014,Illegal immigrants,Taxicab or ride-hailing services,15828.816044233712,0.22443553406574338
2014,Illegal immigrants,Walked only,300612.2200156371,4.262356954389917
2014,Illegal immigrants,Worked at home,203194.5802945326,2.8810799253858996
2014,Legal immigrants,Bicycle,98115,0.5580982781972734
2014,Legal immigrants,Other,183094,1.0414762895403515
2014,Legal immigrants,Private motorized vehicle,14311654,81.40762834994773
2014,Legal immigrants,Public transport,1732895,9.857062791588076
2014,Legal immigrants,Taxicab or ride-hailing services,32294,0.18369490695717014
2014,Legal immigrants,Walked only,516506,2.9379922466346726
2014,Legal immigrants,Worked at home,705679,4.014047137134727
2014,Native-born citizens,Bicycle,730848,0.6085207999115022
2014,Native-born citizens,Other,987690,0.8223733373623402
