year,immig_status,pct
2004,Illegal immigrants,16.640252278833074
2004,Legal immigrants,12.669816253963706
2004,Native-born citizens,8.03316515511336
2005,Illegal immigrants,16.945304000257313
2005,Legal immigrants,12.798857318515322
2005,Native-born citizens,8.106429627041937
2006,Illegal immigrants,16.52883808148886
2006,Legal immigrants,12.261718502397615
2006,Native-born citizens,8.05595459437371
2007,Illegal immigrants,16.52320342153577
2007,Legal immigrants,12.05407213804506
2007,Native-born citizens,8.02435767325395
2008,Illegal immigrants,15.887269724029867
2008,Legal immigrants,12.61793591480031
2008,Native-born citizens,8.126400797061411
2009,Illegal immigrants,15.284619034268584
2009,Legal immigrants,12.523197905082723
2009,Native-born citizens,8.227048833686897
2010,Illegal immigrants,15.361179583557385
2010,Legal immigrants,12.535357710321623
2010,Native-born citizens,8.417035790140769
2011,Illegal immigrants,16.315592664426596
2011,Legal immigrants,12.760357541327114
2011,Native-born citizens,8.617005304794555
2012,Illegal immigrants,15.483903719385856
2012,Legal immigrants,12.676859473833584
2012,Native-born citizens,8.547823100436505
2013,Illegal immigrants,15.176422473396736
2013,Legal immigrants,12.27916215245746
2013,Native-born citizens,8.459359112825112
2014,Illegal immigrants,14.991237759260063
2014,Legal immigrants,12.276015593209866
2014,Native-born citizens,8.476497140957248
2015,Illegal immigrants,14.159765612197365
2015,Legal immigrants,11.853590634699753
2015,Native-born citizens,8.305104031492172
2016,Illegal immigrants,14.145981377782144
2016,Legal immigrants,11.798050417182893
2016,Native-born citizens,8.144818161522995
2017,Illegal immigrants,13.515250594928114
2017,Legal immigrants,11.437653644084476
2017,Native-born citizens,7.953952299853048
2018,Illegal immigrants,13.695274379051392
2018,Legal immigrants,11.455506008287577
2018,Native-born citizens,7.92378303582958
2019,Illegal immigrants,14.319221478790709
2019,Legal immigrants,11.491931979412678
2019,Native-born citizens,7.996349425311028
2020,Illegal immigrants,13.34416604151989
2020,Legal immigrants,11.608624977988141
2020,Native-born citizens,7.664857350988714
2021,Illegal immigrants,12.908680342538311
2021,Legal immigrants,11.211066695946277
2021,Native-born citizens,7.410635770904783
2022,Illegal immigrants,14.101694174727536
2022,Legal immigrants,11.528247047089202
2022,Native-born citizens,7.5588239694233925
2023,Illegal immigrants,12.986560229241684
2023,Legal immigrants,11.599068206902606
2023,Native-born citizens,7.739305233258145
2024,Illegal immigrants,12.805068058327512
2024,Legal immigrants,11.537149939647499
2024,Native-born citizens,7.862209450843236
2004,All immigrants,13.728095462202045
2005,All immigrants,13.925430383251522
2006,All immigrants,13.434619671444825
2007,All immigrants,13.280829683989637
2008,All immigrants,13.431503705160994
2009,All immigrants,13.189705912780928
2010,All immigrants,13.20750917878923
2011,All immigrants,13.585378612815793
2012,All immigrants,13.314899620926518
2013,All immigrants,12.935326062242265
2014,All immigrants,12.873223724370636
2015,All immigrants,12.340915937945613
2016,All immigrants,12.28121859759991
2017,All immigrants,11.854230112018122
2018,All immigrants,11.89848493862051
2019,All immigrants,12.038687003353028
2020,All immigrants,11.906930499335088
2021,All immigrants,11.518131017168189
2022,All immigrants,12.010423454719843
2023,All immigrants,11.867048140745794
2024,All immigrants,11.80180608062713
