year,drivers,deaths,drivers_index,deaths_index
2016,5150410.128851891,1114,100,100
2017,5144447.376038986,1123,99.88422761170995,100.80789946140037
2018,5192890.065499251,1103,100.82478745545707,99.01256732495511
2019,5171319.657118986,1091,100.40597792688321,97.93536804308796
2020,4370812.619626123,991,84.8633897161205,88.95870736086175
2021,4360193.901206446,1230,84.65721742781683,110.4129263913824
2022,4669678.439573097,1336,90.66614740861509,119.92818671454219
2023,4931770.326793225,1310,95.75490501554671,117.59425493716338
2024,5053796.190911282,1232,98.12415059143756,110.59245960502693
