year,immig_status,tranwork_grp,pop,pct
2008,Native-born citizens,Private motorized vehicle,9442335,86.6295572828863
2008,Native-born citizens,Public transport,438839,4.026168134096549
2008,Native-born citizens,Taxicab or ride-hailing services,5253,0.048194124060097605
2008,Native-born citizens,Walked only,252476,2.3163639189410246
2008,Native-born citizens,Worked at home,564315,5.17735905558233
2009,Illegal immigrants,Bicycle,27860.42807218603,1.6413828600024518
2009,Illegal immigrants,Other,38910.09234717442,2.2923681751869602
2009,Illegal immigrants,Private motorized vehicle,1300884.9518850113,76.6409711052093
2009,Illegal immigrants,Public transport,203508.5274356321,11.989600731607696
2009,Illegal immigrants,Taxicab or ride-hailing services,505.3221806862697,0.029770797634855763
2009,Illegal immigrants,Walked only,81205.65930676038,4.784189854368475
2009,Illegal immigrants,Worked at home,44500.36922213416,2.6217164759902594
2009,Legal immigrants,Bicycle,23031,0.5742029758029953
2009,Legal immigrants,Other,36313,0.9053463879264544
2009,Legal immigrants,Private motorized vehicle,3451161,86.04345951870268
2009,Legal immigrants,Public transport,214430,5.346113677280027
2009,Legal immigrants,Taxicab or ride-hailing services,2162,0.05390242862602909
2009,Legal immigrants,Walked only,101134,2.5214469087256366
2009,Legal immigrants,Worked at home,182720,4.5555281029361865
2009,Native-born citizens,Bicycle,102464,0.9863401173415908
2009,Native-born citizens,Other,72895,0.7017026746331908
2009,Native-born citizens,Private motorized vehicle,8978720,86.43105615999072
2009,Native-born citizens,Public transport,416421,4.008556546723753
2009,Native-born citizens,Taxicab or ride-hailing services,3566,0.034327069589710664
2009,Native-born citizens,Walked only,235328,2.2653170590037663
2009,Native-born citizens,Worked at home,578909,5.572700372717277
2010,Illegal immigrants,Bicycle,29483.63392136326,1.7418018532212611
2010,Illegal immigrants,Other,38752.10962653666,2.2893547160354255
2010,Illegal immigrants,Private motorized vehicle,1302456.7577201708,76.94511471646479
2010,Illegal immigrants,Public transport,201803.89238429762,11.921949467956928
2010,Illegal immigrants,Taxicab or ride-hailing services,370.3788326832546,0.02188083527567388
2010,Illegal immigrants,Walked only,76036.64548723497,4.492009715479133
2010,Illegal immigrants,Worked at home,43805.420684457866,2.587888695566795
2010,Legal immigrants,Bicycle,27614,0.696932175935624
2010,Legal immigrants,Other,34621,0.8737773905651929
2010,Legal immigrants,Private motorized vehicle,3417790,86.25942715981083
2010,Legal immigrants,Public transport,206996,5.224240337871023
2010,Legal immigrants,Taxicab or ride-hailing services,2301,0.058073474934014296
2010,Legal immigrants,Walked only,87677,2.212824016423108
2010,Legal immigrants,Worked at home,185223,4.674725444460204
2010,Native-born citizens,Bicycle,100045,0.980383029951439
2010,Native-born citizens,Other,76383,0.7485091406545131
2010,Native-born citizens,Private motorized vehicle,8829630,86.52525776150857
2010,Native-born citizens,Public transport,409433,4.012206158249863
2010,Native-born citizens,Taxicab or ride-hailing services,2367,0.023195228466140798
2010,Native-born citizens,Walked only,223346,2.1886613844523373
2010,Native-born citizens,Worked at home,563481,5.521787296717145
2011,Illegal immigrants,Bicycle,32002.575449222793,1.9408534250626033
2011,Illegal immigrants,Other,37556.87731731783,2.2777039957808314
2011,Illegal immigrants,Private motorized vehicle,1262855.075733508,76.58810469751106
2011,Illegal immigrants,Public transport,192286.02482078376,11.661529880844459
2011,Illegal immigrants,Taxicab or ride-hailing services,1673.9748435642318,0.10152119830965597
2011,Illegal immigrants,Walked only,76054.44826675377,4.612458039321972
2011,Illegal immigrants,Worked at home,46462.951004870934,2.817828763169425
2011,Legal immigrants,Bicycle,26253,0.6562542886004034
2011,Legal immigrants,Other,37774,0.9442482572502813
2011,Legal immigrants,Private motorized vehicle,3432417,85.80117992286331
2011,Legal immigrants,Public transport,210514,5.262282989007935
2011,Legal immigrants,Taxicab or ride-hailing services,2263,0.05656890470051852
2011,Legal immigrants,Walked only,100597,2.514654046026541
2011,Legal immigrants,Worked at home,190613,4.764811591551011
2011,Native-born citizens,Bicycle,111875,1.083704408252834
2011,Native-born citizens,Other,69391,0.6721728053012059
2011,Native-born citizens,Private motorized vehicle,8881776,86.03548428437296
2011,Native-born citizens,Public transport,426748,4.133798335759378
2011,Native-born citizens,Taxicab or ride-hailing services,3411,0.03304148144402608
2011,Native-born citizens,Walked only,238819,2.313378351504211
2011,Native-born citizens,Worked at home,591367,5.7284203333653965
2012,Illegal immigrants,Bicycle,26110.30438288232,1.6316961697727868
2012,Illegal immigrants,Other,42042.997691416276,2.627368769543127
2012,Illegal immigrants,Private motorized vehicle,1250119.3303736353,78.1229852098877
2012,Illegal immigrants,Public transport,167219.6402718095,10.44996038886371
2012,Illegal immigrants,Taxicab or ride-hailing services,717.7333644981936,0.04485289656514366
2012,Illegal immigrants,Walked only,62816.43980873856,3.9255514884720317
2012,Illegal immigrants,Worked at home,51167.56489017796,3.197585076895508
2012,Legal immigrants,Bicycle,28658,0.6863790475478798
2012,Legal immigrants,Other,34286,0.8211735649461445
2012,Legal immigrants,Private motorized vehicle,3604771,86.33677456934254
2012,Legal immigrants,Public transport,221250,5.2990915021972365
2012,Legal immigrants,Taxicab or ride-hailing services,1874,0.04488360440731129
2012,Legal immigrants,Walked only,97266,2.3295884024981532
2012,Legal immigrants,Worked at home,187139,4.48210930906074
2012,Native-born citizens,Bicycle,128644,1.2114844856831923
2012,Native-born citizens,Other,75279,0.7089280541474537
2012,Native-born citizens,Private motorized vehicle,9132599,86.00480397426881
2012,Native-born citizens,Public transport,446684,4.206575790576405
2012,Native-born citizens,Taxicab or ride-hailing services,3224,0.030361509140283356
2012,Native-born citizens,Walked only,241486,2.2741561402761996
2012,Native-born citizens,Worked at home,590792,5.563690045907657
2013,Illegal immigrants,Bicycle,23097.713905338263,1.4410641964012432
2013,Illegal immigrants,Other,41029.040541777766,2.5597979774000974
2013,Illegal immigrants,Private motorized vehicle,1266616.270333171,79.02406988141624
2013,Illegal immigrants,Public transport,166915.47329581296,10.413840667425186
2013,Illegal immigrants,Taxicab or ride-hailing services,936.5477390406204,0.058431125282924726
2013,Illegal immigrants,Walked only,58584.76718059033,3.6550981099016657
2013,Illegal immigrants,Worked at home,45643.570099899625,2.847698042172645
2013,Legal immigrants,Bicycle,29608,0.7021469694537136
2013,Legal immigrants,Other,41286,0.9790880769003654
2013,Legal immigrants,Private motorized vehicle,3597279,85.30865131482996
2013,Legal immigrants,Public transport,252705,5.992841458923288
2013,Legal immigrants,Taxicab or ride-hailing services,2251,0.05338195177790831
2013,Legal immigrants,Walked only,95670,2.26879223749111
2013,Legal immigrants,Worked at home,197982,4.695097990623653
2013,Native-born citizens,Bicycle,130520,1.202261748004943
2013,Native-born citizens,Other,93889,0.8648418116643892
2013,Native-born citizens,Private motorized vehicle,9298134,85.64810631339405
2013,Native-born citizens,Public transport,473478,4.361358319965402
2013,Native-born citizens,Taxicab or ride-hailing services,4130,0.038042759877876295
2013,Native-born citizens,Walked only,249063,2.294199492364044
2013,Native-born citizens,Worked at home,606991,5.5911895547293
2014,Illegal immigrants,Bicycle,28269.715145565653,1.8513948472578041
2014,Illegal immigrants,Other,35683.696201709485,2.3369394045458085
2014,Illegal immigrants,Private motorized vehicle,1213167.9647883126,79.45085075325322
2014,Illegal immigrants,Public transport,154934.94475521243,10.146750927731475
2014,Illegal immigrants,Taxicab or ride-hailing services,483.6458051813236,0.03167415543453074
2014,Illegal immigrants,Walked only,56433.19112837764,3.695832049647723
2014,Illegal immigrants,Worked at home,37968.28243282743,2.4865578621294304
2014,Legal immigrants,Bicycle,35865,0.8086204144357175
2014,Legal immigrants,Other,46978,1.0591766298441696
2014,Legal immigrants,Private motorized vehicle,3790236,85.45551945153147
2014,Legal immigrants,Public transport,257959,5.816002049001067
2014,Legal immigrants,Taxicab or ride-hailing services,2611,0.05886819746526303
2014,Legal immigrants,Walked only,106180,2.3939583327696776
2014,Legal immigrants,Worked at home,195503,4.40785492495263
2014,Native-born citizens,Bicycle,138386,1.2365626371615372
2014,Native-born citizens,Other,86671,0.7744578232294277
2014,Native-born citizens,Private motorized vehicle,9561033,85.43361453086644
2014,Native-born citizens,Public transport,493416,4.408970489628264
2014,Native-born citizens,Taxicab or ride-hailing services,6436,0.05750955394889406
2014,Native-born citizens,Walked only,247903,2.215163292820492
2014,Native-born citizens,Worked at home,657339,5.873721672344946
2015,Illegal immigrants,Bicycle,18340.52350228473,1.2900756355833978
2015,Illegal immigrants,Other,35744.078770825196,2.51424476149064
2015,Illegal immigrants,Private motorized vehicle,1147725.3629982944,80.73120306302933
2015,Illegal immigrants,Public transport,127782.32245865958,8.98823094344293
2015,Illegal immigrants,Taxicab or ride-hailing services,1873.318621135013,0.13176955993158582
2015,Illegal immigrants,Walked only,51228.947869478885,3.6034531661407487
2015,Illegal immigrants,Worked at home,38968.09844935585,2.7410228703813533
2015,Legal immigrants,Bicycle,36498,0.7842385625430146
2015,Legal immigrants,Other,59753,1.2839225937758987
2015,Legal immigrants,Private motorized vehicle,3953598,84.95161412660796
2015,Legal immigrants,Public transport,262014,5.629938153491847
2015,Legal immigrants,Taxicab or ride-hailing services,3247,0.06976882603367769
2015,Legal immigrants,Walked only,106878,2.296505262958856
2015,Legal immigrants,Worked at home,231953,4.984012474588741
2015,Native-born citizens,Bicycle,129225,1.1227370300088995
2015,Native-born citizens,Other,104019,0.9037414054903905
2015,Native-born citizens,Private motorized vehicle,9788656,85.04613321894983
2015,Native-born citizens,Public transport,527707,4.584841864150948
2015,Native-born citizens,Taxicab or ride-hailing services,9683,0.08412816917451091
2015,Native-born citizens,Walked only,262183,2.277907237290178
2015,Native-born citizens,Worked at home,688346,5.980511074935236
2016,Illegal immigrants,Bicycle,16247.151198948475,1.1914301682959114
2016,Illegal immigrants,Other,31963.3278192778,2.3439231023765097
